rootid,store,categories,category_image,description,url_key,is_active,meta_title,url_path,is_anchor,meta_keywords,meta_description,display_mode
2,admin,Collecte des Déchets/Matériel voirie,materiel-voirie-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Matériel voirie/Chariots de voierie,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Matériel voirie/Pelles de deneigement,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Matériel voirie/Epandeurs sels de déneigement,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles,poubelles-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles/Corbeille papier,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles/Corbeille à pédale,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles/Corbeille couvercle basculant,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles/Poubelles de 90 à 130 litres,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Poubelles/Conteneurs à déchets de 160 à 1100 litres,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Sacs poubelles,sacs-poubelles-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Sacs poubelles/Sacs à déchets de 10 à 50 litres,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Sacs poubelles/Sacs à déchets de 60 à 130 litres,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Sacs poubelles/Housses conteneurs de 160 à 1100 litres,,,,1,,,0,,,PRODUCTS
2,admin,Collecte des Déchets/Sacs poubelles/Sacs à déchets écologiques,,,,1,,,0,,,PRODUCTS
